Column1;Name;geometry;latitude;longitude;Description;X5th.tree;X10th.tree;Den.N;Den.E;Den.S;Den.W;Species.1;Species.2;Species.3;Soil;Avr.Den;Tree.density.5;Tree.density.10
1;PDF07;"{""type"":""Point"",""coordinates"":[-123.052229,49.759658,1194.77]}";49.759658;-123.052229;PDF07;4,8;7,4;14;6;5;19;Mountain Hemlock;Fir;;;88,54166667;0,0621699;0,055221766
2;PDF19;"{""type"":""Point"",""coordinates"":[-122.884337,50.028812,1790.8]}";50.028812;-122.884337;PDF19;2,8;5,3;0;17;22;21;Sub Alpine Fir;Mountain Hemlock;;;84,375;0,182703379;0,107651973
3;PDF21;"{""type"":""Point"",""coordinates"":[-123.056322,49.757494,1135.05]}";49.757494;-123.056322;PDF21;2,4;3,7;2;5;0;3;Western Hemlock;Fir;;;97,39583333;0,248679599;0,220887065
4;PDF22;"{""type"":""Point"",""coordinates"":[-123.045548,49.764844,1299.07]}";49.764844;-123.045548;PDF22;3,9;6,2;15;3;5;5;Mountain Hemlock ;Fir;;;92,70833333;0,094174523;0,078666595
5;PE01;"{""type"":""Point"",""coordinates"":[-122.986695,49.785548,1478.64]}";49.785548;-122.986695;PE01;47;65;96;96;96;96;Mountain Hemlock;;;Carex meadows;0;0,000648436;0,000715726
6;PE02;"{""type"":""Point"",""coordinates"":[-122.984377,49.812035,1330.83]}";49.812035;-122.984377;PE02;18;24;96;96;96;96;Mountain Hemlock;;;Willow;0;0,004420971;0,005249903
7;PE03;"{""type"":""Point"",""coordinates"":[-122.969528,49.817359,1518.13]}";49.817359;-122.969528;PE03;163;195;96;96;96;96;Mountain Hemlock;;;Header;0;5,39122E-05;7,95252E-05
8;PE04;"{""type"":""Point"",""coordinates"":[-122.942791,49.81528,1493.99]}";49.81528;-122.942791;PE04;1,8;3,3;83;62;33;0;Mountain Hemlock;;;Header;53,64583333;0,442097064;0,277680801
9;PE05;"{""type"":""Point"",""coordinates"":[-122.878914,50.026403,1886.64]}";50.026403;-122.878914;PE05;5,8;8,6;94;73;94;96;Sub Alpine Fir;White Bark Pine;;Header;7,03125;0,042580098;0,040886208
10;PE06;"{""type"":""Point"",""coordinates"":[-122.881634,50.028254,1846.45]}";50.028254;-122.881634;PE06;9,3;16,4;96;94;96;96;Sub Alpine Fir;;;Header;0,520833333;0,016561388;0,011243099
11;PE07;"{""type"":""Point"",""coordinates"":[-122.883276,50.028593,1806.17]}";50.028593;-122.883276;PE07;15,2;16,4;95;96;96;96;Sub Alpine Fir;;;Grass Flower;0,260416667;0,006199768;0,011243099
12;PE08;"{""type"":""Point"",""coordinates"":[-122.893798,50.028804,1790.83]}";50.028804;-122.893798;PE08;2,2;3,3;81;70;35;7;Sub Alpine Fir;;;Grass Flower;49,73958333;0,295949274;0,277680801
13;PE09;"{""type"":""Point"",""coordinates"":[-122.895747,50.031533,1842.12]}";50.031533;-122.895747;PE09;5,3;6,5;73;68;45;89;Sub Alpine Fir;;;Header;28,38541667;0,05099304;0,071572637
14;PF10;"{""type"":""Point"",""coordinates"":[-123.034796,49.76161,1425.37]}";49.76161;-123.034796;PF10;6;7,3;83;89;44;19;Mountain Hemlock;Yellow Cedar;Fir;;38,80208333;0,039788736;0,056745054
15;PF16;"{""type"":""Point"",""coordinates"":[-122.991314,49.800945,1447.96]}";49.800945;-122.991314;PF16;4,6;6,5;77;42;20;32;Mountain Hemlock;Fir;;Header;55,46875;0,067693501;0,071572637
16;PF17;"{""type"":""Point"",""coordinates"":[-122.990545,49.78874,1434.2]}";49.78874;-122.990545;PF17;14;16;85;61;90;95;Mountain Hemlock;Fir;;Header;13,80208333;0,007308135;0,011812281
17;PF21;"{""type"":""Point"",""coordinates"":[-122.85916,50.031248,1754.45]}";50.031248;-122.85916;PF21;3,4;8;62;3;10;11;Sub Alpine Fir;;;;77,60416667;0,123909558;0,047249124
18;PF24;"{""type"":""Point"",""coordinates"":[-122.913423,50.037506,1872.72]}";50.037506;-122.913423;PF24;2,6;3,5;49;46;80;94;Sub Alpine Fir;;;Header;29,94791667;0,211892676;0,246852565
